cluster,lat,lon,commercial,hospital,library,residential,school,university
Rosefield Intersection,55.95294992082901,-3.117390072,27,0,1,600,2,0
Saughton Road North,55.93606748223777,-3.278425415,8,0,1,700,1,0
Willaim Street-NW-SW,55.948991955607475,-3.213629899,17,0,1,256,1,0
Rankin Road,55.92658124040115,-3.175786202,2,0,1,899,0,1
Woodburn Street,55.89289422870967,-3.052582039,0,0,0,222,1,0
Greenbank Row-Road,55.913605985449735,-3.220842945,0,0,0,526,0,0
Tolbooth Wynd,55.97390026111111,-3.170619066,29,1,0,33,2,0
Newmills Crescent,55.89291728878788,-3.330839089,0,0,0,400,0,0
Chapelhill Road,55.9489591,-3.23467196,0,0,0,564,3,0
Seafield Road,55.872635398999996,-3.179221524,1,0,0,258,1,0
West Holmes Gardens,55.94119945473684,-3.05981298,30,0,1,28,1,0
Dalhousie Avenue,55.87091304,-3.115582133,0,0,1,0,3,0
Craigcrook Square,55.95808350596708,-3.263766461,0,0,1,411,1,0
Liberton Place,55.91158176461905,-3.160213988,3,0,0,325,0,0
Craiglockheart Road North,55.92314325112745,-3.238630609,2,0,0,474,0,1
Willowbrae Avenue,55.952640871826624,-3.147941483,3,0,1,404,2,0
Morningside Road,55.92745363295652,-3.208857882,4,0,1,652,2,0
Hill Street,55.95350729392157,-3.202047653,44,0,0,156,2,1
Whitehouse Road,55.975129653269235,-3.301278534,0,0,0,61,2,0
Brunstane Road,55.94892354455882,-3.102426141,1,0,0,673,0,0
St. John's Road,55.94337157741935,-3.283899101,8,0,1,985,1,0
Lanark Road,55.92074552462687,-3.253715266,0,0,0,123,0,0
Ferry Road,55.97428388421569,-3.183963765,57,0,1,325,2,0
Pilton Avenue,55.97459851929412,-3.224691505,0,0,1,316,1,0
Moredun Dykes Road,55.904940358235294,-3.138037449,1,0,1,92,1,0
Craigleith Hill Avenue,55.96040185434555,-3.239419023,1,1,0,545,0,0
Dovecot Crescent,55.91309618336957,-3.101024568,0,1,0,75,0,0
Newbattle Abbey Crescent,55.88139779534883,-3.074019027,0,0,0,125,0,0
Lauder Road,55.93547056589532,-3.186899052,0,0,0,1119,1,0
Easter Currie Place,55.89858376367647,-3.306957088,3,0,1,324,2,0
