cluster,lat,lon,commercial,hospital,library,residential,school,university
0,55.95294992082901,-3.1173900720725385,27,0,1,600,2,0
1,55.93606748223777,-3.2784254145524474,8,0,1,700,1,0
2,55.948991955607475,-3.2136298993084114,17,0,1,256,1,0
3,55.92658124040115,-3.1757862016361034,2,0,1,899,0,1
4,55.89289422870967,-3.052582039379032,0,0,0,222,1,0
5,55.913605985449735,-3.220842944867725,0,0,0,526,0,0
6,55.97390026111111,-3.1706190657222226,29,1,0,33,2,0
7,55.89291728878788,-3.330839088779221,0,0,0,400,0,0
8,55.9489591040625,-3.23467196028125,0,0,0,564,3,0
9,55.872635398999996,-3.179221524492308,1,0,0,258,1,0
10,55.94119945473684,-3.059812980087719,30,0,1,28,1,0
11,55.8709130425,-3.1155821325,0,0,1,0,3,0
12,55.95808350596708,-3.263766461053498,0,0,1,411,1,0
13,55.91158176461905,-3.160213988252381,3,0,0,325,0,0
14,55.92314325112745,-3.2386306085343137,2,0,0,474,0,1
15,55.952640871826624,-3.147941483486068,3,0,1,404,2,0
16,55.92745363295652,-3.208857882252174,4,0,1,652,2,0
17,55.95350729392157,-3.202047652627451,44,0,0,156,2,1
18,55.975129653269235,-3.3012785339615385,0,0,0,61,2,0
19,55.94892354455882,-3.1024261411470584,1,0,0,673,0,0
20,55.94337157741935,-3.2838991008064515,8,0,1,985,1,0
21,55.92074552462687,-3.2537152660149253,0,0,0,123,0,0
22,55.97428388421569,-3.1839637650294117,57,0,1,325,2,0
23,55.97459851929412,-3.224691504505883,0,0,1,316,1,0
24,55.904940358235294,-3.1380374491176473,1,0,1,92,1,0
25,55.96040185434555,-3.239419023340314,1,1,0,545,0,0
26,55.91309618336957,-3.1010245684347826,0,1,0,75,0,0
27,55.88139779534883,-3.0740190272790695,0,0,0,125,0,0
28,55.93547056589532,-3.1868990516391187,0,0,0,1119,1,0
29,55.89858376367647,-3.3069570884362745,3,0,1,324,2,0
30,55.952575426201925,-3.133796026120192,2,0,0,521,1,0
31,55.90628805608695,-3.2069818162086956,1,0,0,460,0,0
32,55.94327689635762,-3.2479409854437087,5,0,1,421,1,0
33,55.933369218385096,-3.1564307700496896,1,0,0,345,1,0
34,55.96835476976852,-3.153323724953704,37,0,0,331,1,0
35,55.90832617592308,-3.2728086372615386,0,0,0,149,1,0
36,55.973142865684935,-3.2017444113972604,1,0,0,366,1,0
37,55.94495667610257,-3.130233191723077,2,0,0,501,1,0
38,55.948639611199994,-3.30882180892,4,0,0,19,1,0
39,55.87810643452055,-3.1500973266027397,1,0,1,61,3,0
40,55.9439962640411,-3.0997537451164385,1,0,0,674,2,0
41,55.958791039642854,-3.171458759357143,19,0,0,40,2,0
42,55.9223377870909,-3.220520957112121,0,1,0,712,0,0
43,55.93370652078067,-3.2046422574312268,0,0,0,456,5,0
44,55.95959908223685,-3.2855412314078944,0,0,1,180,2,0
45,55.86572537615385,-3.099707148100592,0,0,0,154,1,0
46,55.93718386300847,-3.294621067809322,1,0,0,488,2,0
47,55.914776520748035,-3.2112527959960633,0,0,0,666,0,0
48,55.974491112799996,-3.2484179085800005,1,0,0,113,3,0
49,55.91342775616162,-3.1731317123737375,0,0,0,235,1,0
50,55.954054319225804,-3.246054898458065,10,0,0,471,1,0
51,55.934889588000004,-3.087828953466667,0,0,0,24,1,0
52,55.87229294654546,-3.057464715727273,0,0,0,58,1,0
53,55.915285763235296,-3.318594465852941,0,0,0,23,0,5
54,55.946798430679614,-3.081748731592233,4,0,0,180,0,0
55,55.9369296983,-3.1917138004549996,0,0,0,599,1,0
56,55.930717141774196,-3.228632538733871,9,0,0,326,2,0
57,55.939814665930236,-3.2753345166860464,9,0,1,837,1,0
58,55.924051329081635,-3.2011046491734696,0,2,0,418,3,0
59,55.964462540549455,-3.310408558461538,0,0,0,158,0,0
60,55.96444536945783,-3.263371105138554,0,0,1,324,1,0
61,55.92193780142857,-3.2868990013928574,0,0,3,59,2,1
62,55.89716962315068,-3.1427862613835615,0,0,0,165,0,0
63,55.91645056678756,-3.2476679909067356,1,0,0,407,1,0
64,55.97840761398844,-3.1936252488612715,0,0,0,571,4,0
65,55.96285452887006,-3.1911720167062145,3,0,0,288,3,0
66,55.962125463049176,-3.1338296867278688,2,0,0,612,0,0
67,55.950116079999994,-3.1805575720588237,2,0,2,6,3,5
68,55.93157094603239,-3.1755341470931175,2,0,1,1208,0,0
69,55.932134398974355,-3.1421771097179487,9,0,1,25,3,0
70,55.95616463148148,-3.2271731095679015,1,0,0,359,4,0
71,55.94708121,-3.1198752534713114,0,0,0,708,1,0
72,55.95841840849265,-3.2521294153455886,10,0,0,545,2,0
73,55.920815312405495,-3.2163250946872854,0,0,0,965,1,0
74,55.9478768744843,-3.2425202946547085,0,0,0,632,0,0
75,55.9093462825098,-3.2632970962509806,0,0,0,287,0,0
76,55.92721324261959,-3.17031073661959,1,0,0,942,1,1
77,55.96715162600997,-3.1606052937955114,13,0,0,475,4,0
78,55.96557603830986,-3.1443012646901405,0,1,0,81,1,0
79,55.93031774911112,-3.2529473036666667,13,0,0,45,0,0
80,55.92874710284314,-3.2636529603039217,1,0,0,103,1,0
81,55.96752219192308,-3.215106723557692,1,0,0,301,1,0
82,55.94642976232456,-3.2926088426798246,4,0,0,546,0,0
83,55.9462062754359,-3.092855638184615,0,0,0,463,1,0
84,55.8940082068421,-3.1616714618421056,1,0,0,18,1,0
85,55.89652176550336,-3.3186911053557044,1,0,0,285,2,0
86,55.95693459674242,-3.2131242801060607,2,0,1,285,1,0
87,55.92192039848485,-3.066849198212121,0,0,0,31,0,0
88,55.87602082770992,-3.1627003489694654,4,0,0,129,0,0
89,55.94184212972973,-3.257037481472973,5,0,0,301,0,0
90,55.9097386377193,-3.2344172319122806,11,0,0,152,5,0
91,55.93144901900497,-3.2131093035671645,4,0,2,514,1,1
92,55.94798512111111,-3.1938207298333334,10,3,7,7,2,4
93,55.95831578754718,-3.152482238616352,2,0,0,248,2,0
94,55.921478373333336,-3.211626151545098,4,0,0,827,1,0
95,55.917343378750004,-3.113079930225,0,0,1,35,1,0
96,55.918932274143835,-3.161950478291096,3,0,0,581,2,0
97,55.96542367808743,-3.2352563440218582,0,1,0,359,0,0
98,55.942813072,-3.3215315607,4,0,0,2,1,0
99,55.94006888878947,-3.208005696294737,10,0,0,368,3,0
100,55.94460573378049,-3.275573644504065,3,0,0,713,0,0
101,55.90443123,-3.2861928885576925,2,0,0,44,1,0
102,55.92171972472222,-3.1503228722361114,0,0,0,178,0,0
103,55.905190143125,-3.1537940795625,0,2,1,48,4,0
104,55.9425558076129,-3.120219286296774,1,0,0,618,0,0
105,55.93653238781818,-3.2879627182868685,0,0,0,872,4,0
106,55.930420136258064,-3.1923523233483873,1,1,0,558,0,0
107,55.97625530543478,-3.189306590269022,36,0,0,609,3,0
108,55.89844142481482,-3.1970065340370373,0,0,0,18,0,0
109,55.92947318891892,-3.1252042195135132,1,0,0,46,4,0
110,55.956121507106914,-3.2912988865345914,1,0,1,276,1,0
111,55.92306210099631,-3.2439292511808118,3,0,0,539,0,1
112,55.90223601,-3.0459659774666665,0,0,0,9,5,0
113,55.93379459422794,-3.1622031154485297,1,0,0,479,1,0
114,55.938256680701755,-3.226523280649123,12,0,0,108,2,0
115,55.916194723960395,-3.2065434939900994,0,0,0,470,0,0
116,55.90751441208333,-3.2487652738194446,0,0,1,73,1,0
117,55.94949876674641,-3.128250404827751,1,0,0,614,2,0
118,55.87112530875,-3.082361632625,0,0,0,20,0,0
119,55.92589391132275,-3.2316106303703704,9,0,0,319,0,0
120,55.97707254837697,-3.2184364894712045,0,0,0,413,1,0
121,55.9088261645946,-3.200196840418919,0,0,0,120,1,0
122,55.91357734739999,-3.08678932794,1,0,0,41,0,0
123,55.885077983113206,-3.0827885988773582,1,0,0,109,0,0
124,55.95309463963816,-3.1122855317828946,36,0,1,585,2,0
125,55.93311078986842,-3.232393408973684,10,0,0,231,1,0
126,55.868494029999994,-3.181821627643678,1,0,0,270,1,0
127,55.94811981311966,-3.1404991497521366,3,0,0,292,2,0
128,55.95411357800995,-3.239355606049751,1,0,0,635,0,0
129,55.95989446875,-3.18175894525,5,0,1,93,2,0
130,55.94593648879195,-3.2288676957382547,3,0,0,249,2,0
131,55.95544686938775,-3.1641568141428573,6,0,0,50,1,0
132,55.97390476708333,-3.238000045694444,1,0,0,111,1,0
133,55.94506053,-3.0468041231666665,5,0,0,22,4,0
134,55.968843696831684,-3.304453799881188,0,0,0,135,2,0
135,55.917053014105264,-3.261717768368421,6,0,0,218,2,0
136,55.914074417226274,-3.167074067083942,1,0,0,543,1,0
137,55.928852335185184,-3.182246734644444,1,0,1,852,0,0
138,55.92753053794872,-3.2821579756025643,0,0,0,124,1,0
139,55.925229196415096,-3.15600043104717,1,0,0,222,1,0
140,55.947921055,-3.2074530228750002,35,0,0,95,2,0
141,55.97231195121019,-3.211045701987261,1,0,0,377,2,0
142,55.95765704049587,-3.1375601606280994,1,0,1,551,1,0
143,55.93290046928571,-3.0686124091428573,1,0,0,26,1,1
144,55.93333241060812,-3.1977356654932434,0,1,0,390,2,0
145,55.89317433527778,-3.0649621112777776,1,0,1,80,1,0
146,55.94059266635803,-3.2789230712222217,9,0,1,1083,1,0
147,55.93911763375,-3.096180716228261,0,0,0,317,1,0
148,55.97259314534884,-3.1570019881627904,47,0,0,272,2,0
149,55.968038013061225,-3.1745427239183677,20,1,0,102,3,0
150,55.942719730127386,-3.1155177203566877,1,0,0,412,1,0
151,55.90980822342657,-3.214125863758741,1,0,0,643,0,0
152,55.95135023980159,-3.1072421240238093,30,0,0,581,1,0
153,55.95797752113096,-3.1293678238720237,1,0,0,622,0,0
154,55.96482250023255,-3.2481032484186048,0,0,0,243,3,0
155,55.94267594965686,-3.290190094901961,7,0,0,914,1,0
156,55.876135667999996,-3.3307097866,0,0,0,4,1,0
157,55.97518155284314,-3.2312561655490195,7,0,1,150,1,0
158,55.88382121615385,-3.119192824205128,0,0,0,27,0,0
159,55.95684370786324,-3.1204845257521368,9,0,1,287,0,0
160,55.936589956911,-3.177006658670157,1,0,3,878,1,0
161,55.9194774784375,-3.29888988309375,5,0,0,24,1,0
162,55.923742974782606,-3.3262108579130434,0,0,0,21,0,0
163,55.915378308676466,-3.280865610132353,1,0,1,66,1,0
164,55.96524917483871,-3.201166422419355,1,0,1,160,1,0
165,55.94580854988095,-3.2803118930833333,1,0,1,879,0,0
166,55.86720556384615,-3.132521565,0,0,0,12,0,0
167,55.91662154915493,-3.2188186514460093,0,0,0,885,0,0
168,55.96305371875,-3.315554010527778,0,0,0,139,0,0
169,55.89359670333334,-3.0467433517500004,0,0,0,156,1,0
170,55.941359477058825,-3.199556251764706,1,3,1,65,3,1
171,55.94015981269565,-3.251889914573913,6,0,1,381,2,0
172,55.93723354935484,-3.2148820096048385,0,0,2,471,2,1
173,55.96299408292683,-3.2713786482682927,0,0,0,95,1,0
174,55.95955384317647,-3.2574672359607844,1,0,1,589,1,0
175,55.972132426632655,-3.18950888332653,44,0,0,513,2,0
176,55.926371497518794,-3.2047286581203007,4,1,1,615,3,0
177,55.936029732307695,-3.1830198030430767,1,0,3,1065,1,0
178,55.95874771665072,-3.2343305036985646,0,1,0,676,0,0
179,55.93370989110091,-3.2454841393577984,0,0,1,123,4,0
180,55.916929186111105,-3.1341684684444444,1,1,1,10,1,1
181,55.95964319774647,-3.206610543126761,2,0,1,155,3,0
182,55.947297802571434,-3.086738728057143,1,0,0,272,0,0
183,55.955373488750006,-3.218285246220588,1,0,0,308,1,0
184,55.885602425,-3.1894308476999997,0,0,0,10,0,0
185,55.93483931478261,-3.219097575286957,0,0,1,383,2,1
186,55.91732093861842,-3.2430092609276318,3,0,0,504,0,1
187,55.95941217806202,-3.2466073385503873,10,0,0,463,2,0
188,55.9779308717284,-3.206814623123457,0,0,0,227,0,0
189,55.90898494125,-3.1485082183125,1,2,0,67,2,0
190,55.86761148722222,-3.065395268611111,0,0,1,20,1,0
191,55.96689665689189,-3.242103989675676,0,0,0,211,2,0
192,55.866074232,-3.1981320724,0,0,0,4,0,1
193,55.914074297894736,-3.2273771545,5,0,0,194,1,0
194,55.94807932722222,-3.097516502979798,1,0,0,626,1,0
195,55.93468486219697,-3.168168182875,0,0,0,663,0,0
196,55.97715651659459,-3.199332320664865,1,0,0,401,3,0
197,55.937021779475984,-3.282574564048035,7,0,1,899,1,0
198,55.972470279109594,-3.216366409979452,1,0,0,576,2,0
199,55.89884020942584,-3.3123367188133974,4,0,1,398,2,0
200,55.972051181999994,-3.3299742766000002,0,0,0,9,0,0
201,55.925123964,-3.18583259815,1,0,0,359,0,1
202,55.93134720285714,-3.2972266138571427,4,0,0,95,1,0
203,55.975304370270266,-3.165741505918919,33,0,0,19,1,0
204,55.87437725666666,-3.0485351306666666,0,0,1,2,2,0
205,55.942807628913044,-3.1453330660869563,0,0,0,84,2,0
206,55.889771027500004,-3.095806551,1,0,0,1,0,0
207,55.96089855216867,-3.2196431597590363,1,0,0,181,2,0
208,55.954356368206284,-3.2321161738878925,0,0,0,611,3,0
209,55.947246414673366,-3.220131244869347,8,0,0,248,2,0
210,55.932502580384615,-3.130558807576923,1,0,1,37,5,0
211,55.97140540056738,-3.2208850260921986,0,0,0,452,0,0
212,55.93551417047619,-3.2718243549333335,0,0,0,371,1,0
213,55.92237431542106,-3.2070262023631577,4,0,0,761,1,0
214,55.92907706039801,-3.187358823671642,1,0,0,687,0,1
215,55.96829837019231,-3.207484348394231,0,0,1,324,1,0
216,55.946900841620106,-3.238520848273743,0,0,0,550,2,0
217,55.92605736195122,-3.2743105934390244,0,0,0,43,3,0
218,55.968606197647055,-3.2528470972941177,1,0,0,69,7,0
219,55.9464966438938,-3.253637288938053,1,0,0,342,1,0
220,55.894489607240004,-3.3257690707639997,0,0,0,444,1,0
221,55.93547359434483,-3.210952986537931,0,0,1,697,1,1
222,55.948597325420565,-3.2473919847289716,1,0,0,530,1,0
223,55.87116641946237,-3.1845699153978493,0,0,0,258,1,0
224,55.9016104425,-3.1659440013928575,0,0,0,21,2,0
225,55.907056600434785,-3.2288546858985505,12,0,1,152,1,0
226,55.90103692807229,-3.135769163638554,0,0,1,134,0,0
227,55.93276115421686,-3.1813361832931726,2,0,2,1217,0,0
228,55.94166149545455,-3.052551380181818,9,0,1,35,4,0
229,55.976772706666665,-3.1794306549444444,29,0,1,61,0,0
230,55.93030536125001,-3.2214186947884613,0,1,0,280,2,0
231,55.877249060746266,-3.0782119878208953,0,0,0,126,0,0
232,55.89336900237114,-3.0590319871958767,0,0,0,166,0,0
233,55.953318021885245,-3.2961635270491803,0,0,0,258,1,0
234,55.939827708807336,-3.270048502513762,3,0,0,381,1,0
235,55.93244134268292,-3.2390210079024393,0,0,0,93,2,0
236,55.94348001645833,-3.185008117166667,3,0,4,119,3,7
237,55.958088586494846,-3.189551726659794,3,0,0,278,2,0
238,55.92200813678363,-3.1667698453684214,1,0,0,586,3,0
239,55.95745469736842,-3.1979568054789476,24,0,0,232,1,1
