start_station_name,2018,2019,2020,2021
Abbeyhill,0,0,6636,2304
Balgreen,0,170,0,0
Balgreen Road,0,16,3184,0
Belford Road,0,286,1342,502
Boroughmuir,0,0,5574,1814
Borrowman Square,0,0,1136,46
Bristo Square,1840,10344,7234,2616
Brunswick Place,922,2998,6820,2920
Brunswick Place - Virtual,0,912,0,0
Bruntsfield,834,3350,0,0
Bruntsfield Links,0,254,9028,4262
Bruntsfield links,0,1600,0,0
Canonmills,1134,6170,7060,3446
Castle Street,668,6636,6312,2126
Castle Terrace,230,4438,3120,1008
Causewayside,0,2600,4606,2748
Chambers Street,0,0,3086,1192
Charlotte Square,894,5384,6048,2146
City Chambers,722,4262,3710,2194
City Chambers Launch Station,0,0,2,0
Colinton Road,54,2212,2568,1188
Comely Bank Road,0,1418,3844,1794
Constitution Street,0,1044,0,0
Corn Exchange - walk cycle event,0,12,0,0
Corstorphine Road,0,642,2522,0
Corstorphine Road - Pinkhill,0,36,0,0
Craigleith Road,0,488,1646,0
Cramond Foreshore,0,1300,8988,3170
Crescent House,0,18,0,0
Crichton Street,0,2332,2640,540
Cycling Scotland Conference,0,2,0,0
Dalmeny Station,0,0,678,60
Dalry Road Co-op,54,728,0,0
Dalry Road Lidl,32,1218,4608,2372
Dean Street,0,94,1910,410
Drumsheugh Place,0,0,3626,1890
Dudley Gardens,0,3700,922,0
Duke Street,0,0,10592,2818
Dunbar’s Close Garden,0,50,0,0
Dundas Street,0,2048,4194,1466
Dundee Terrace,84,5336,7284,2920
Dynamic Earth,0,0,5426,3552
EICC,0,2014,3710,2156
East London Street,70,2306,3770,1476
Eden Locke - Aparthotel (RESIDENTS ONLY),0,30,18,0
Edinburgh Park Central,0,0,388,0
Edinburgh Park Station,0,0,1240,370
Edinburgh Royal Infirmary,0,8,1686,1056
Edinburgh Zoo,0,276,1118,716
Ellersly Road,0,12,984,336
Fort Kinnaird,0,6,0,0
Forth Bridge Visitors Centre,0,0,712,294
Fountain Court  - Apartments (RESIDENTS ONLY),0,70,16,0
Fountainbridge,1294,5588,6250,1982
Gamekeeper's Road,0,106,2228,576
George Square,1176,6034,3644,796
Gibson Terrace,52,38,0,0
Gladstone Terrace,0,1282,2548,872
Gorgie Road,0,0,4712,0
Grassmarket,0,754,2946,1260
HSBC UK Lets Ride - Meadows Event,0,108,0,0
Hawes Pier,0,0,2360,492
Haymarket Station,0,888,3562,1894
Haymarket Terrace,0,82,3738,938
Henderson Row,0,182,0,0
Heriot Watt - Edinburgh Business School,0,110,1264,538
Heriot Watt - Student Accommodation,0,0,602,428
